  1.913	  4.971	  6.835	  5.813	 -0.058	  0.511	  2.046	  0.327	  0.267	 -0.757	 -1.329	 -6.236	 -1.142	 -8.674	 -8.288	 -1.131	-10.541	 -0.548	 -4.751	 -2.824	 -2.715	 -2.235	 -5.751	 -1.790	 -1.558	 -4.720	 -4.799	 -8.731	 -4.055	 -6.086	  0.195	  0.160	  0.072	  0.112	  0.074
  2.763	 -4.426	 -0.615	  3.500	 -0.207	  4.075	  2.451	  2.686	  0.537	 -0.549	  3.191	 -8.772	 -3.095	  2.174	  0.013	 -1.815	  2.162	  3.672	  2.398	  3.492	  1.900	  2.771	 -5.259	  1.740	  1.976	  3.529	 -0.623	  0.692	 -0.165	  0.056	  0.092	  0.225	  0.059	  0.144	  0.243
  0.382	  0.171	 -0.931	  1.264	 -4.071	 -4.638	 -9.954	 -0.799	 -2.469	 -2.846	 -2.467	  1.248	 -3.966	 -5.857	  0.765	 -4.504	  1.307	  0.538	  0.307	  1.385	  2.298	 -3.400	  1.574	  3.434	  3.140	 -1.118	 -4.010	  4.061	 -2.053	  3.120	  0.159	  0.105	  0.101	  0.088	  0.200
  1.249	  3.729	 -1.357	 -6.729	  3.393	 -0.777	  2.476	 -1.709	 -3.279	  1.765	 -1.568	  1.727	  0.754	 -3.218	 -0.815	  3.036	  1.428	 -4.180	 -2.081	  0.239	 -3.654	  0.033	 -3.245	 -3.467	 -3.231	 -0.009	 -1.005	 -1.687	 -0.002	  0.699	  0.091	  0.161	  0.171	  0.092	  0.163
 -1.469	  6.212	  4.988	  2.331	 -0.180	  1.335	  3.750	  3.597	  2.610	 -2.769	  2.591	-10.464	  1.193	  1.148	-20.524	  1.435	 -4.822	 -8.905	 -2.705	 -3.583	 -5.891	-16.055	 -2.736	 -3.237	 -8.276	 -7.618	 -8.019	 -6.276	 -6.718	 -4.910	  0.097	  0.218	  0.095	  0.218	  0.069
  3.673	 -4.660	  7.154	  6.508	  3.574	  6.767	  1.170	  0.030	  5.805	  6.127	  5.048	  4.464	  3.717	  1.199	  6.463	  5.432	  1.069	  6.888	  0.054	  7.093	  8.123	  7.059	  7.072	  2.475	  5.101	  0.515	-13.617	  0.557	-11.295	  3.376	  0.175	  0.235	  0.121	  0.227	  0.211
  6.364	  0.480	  0.753	  5.106	  2.892	  1.933	 -4.156	 -1.732	 -2.016	 -3.456	 -5.668	 -0.787	 -0.572	 -0.234	 -6.924	 -2.653	 -1.659	 -2.379	 -0.879	 -2.670	 -1.835	 -0.623	 -4.198	 -1.873	 -2.149	-14.325	 -3.174	-17.608	 -3.570	 -6.483	  0.245	  0.131	  0.084	  0.103	  0.056
  2.724	 -1.901	  0.508	  2.715	  0.203	 -1.660	  2.393	-15.599	 -1.680	 -0.475	 -0.542	 -3.200	  3.599	 -5.477	 -0.680	 -0.670	  3.179	 -2.731	  4.548	  4.651	  4.205	  3.059	 -1.369	 -3.351	 -8.098	  0.459	 -3.749	 -5.485	  1.100	-16.810	  0.085	  0.147	  0.085	  0.229	  0.179
 -3.504	  8.518	  8.837	  6.457	  6.738	  3.894	  4.485	  3.690	  1.604	  1.888	 -0.219	 -1.552	  2.717	 -2.610	 -1.457	  4.070	  2.655	  1.690	  0.024	 -1.237	 -2.311	  2.110	  1.694	-10.793	 -3.244	 -0.177	 -6.079	 -4.571	 -1.007	 -5.998	  0.194	  0.216	  0.133	  0.167	  0.098
 -5.854	  0.802	 -0.602	  0.646	 -2.913	 -1.914	 -1.308	 -7.066	 -7.469	 -2.965	 -2.370	 -3.817	 -2.050	 -3.292	 -3.221	 -8.252	 -8.106	 -4.454	 -4.212	 -3.579	 -2.589	 -5.929	 -4.166	 -4.657	 -9.093	 -5.230	 -5.736	 -5.183	 -7.279	-10.690	  0.052	  0.159	  0.068	  0.135	  0.086
